input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
hard-1,1-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319278-xEdU8X88DROZZXXld3nX,0,0,7992.8222,20371,673,21044,0,8125,0,0.0515345,0.0448045,0.00673,True,True,False,1624,55,stop,end_turn,,,2026-07-29T12:01:26.796242
hard-10,10-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319286-N1iNiuRqoUafO2xHDlHj,0,0,11579.8984,42833,1373,44206,8125,0,0,0.084771,0.071041,0.01373,True,True,False,3435,112,stop,end_turn,,,2026-07-29T12:01:38.389192
hard-2,2-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319298-2MDozwOepMnbucGic4SM,0,0,6961.6833,28175,667,28842,8125,0,0,0.048395,0.041725,0.00667,True,True,False,1664,53,stop,end_turn,,,2026-07-29T12:01:45.356865
hard-3,3-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319305-v0rNgq6YuIZwXs8kNg2d,0,0,8433.0628,57531,789,58320,8125,0,0,0.108327,0.100437,0.00789,True,True,False,2047,67,stop,end_turn,,,2026-07-29T12:01:53.808780
hard-4,4-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319313-jKQx5lNgbGvA6QvEbQ4V,0,0,10002.2361,32144,1075,33219,8125,0,0,0.060413,0.049663,0.01075,True,True,False,2522,98,stop,end_turn,,,2026-07-29T12:02:03.818059
hard-5,5-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319323-9mVcIjv3Ir4xSHkCMBIA,0,0,8745.0194,18508,889,19397,8125,0,0,0.031281,0.022391,0.00889,True,True,False,2139,65,stop,end_turn,,,2026-07-29T12:02:12.570079
hard-6,6-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319332-CWuCOs2GgCsVvHw0B8P4,0,0,5499.7733,15979,261,16240,8125,0,0,0.019943,0.017333,0.00261,True,True,False,585,28,stop,end_turn,,,2026-07-29T12:02:18.074884
hard-7,7-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319337-L7B6Iruf2sMbmIiNLcaX,0,0,10408.8659,27385,1002,28387,8125,0,0,0.050165,0.040145,0.01002,True,True,False,2473,79,stop,end_turn,,,2026-07-29T12:02:28.492173
hard-8,8-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319349-0oLeb5xzuDlS9K0ofdLH,0,0,8433.373,15171,787,15958,8125,0,0,0.023587,0.015717,0.00787,True,True,False,1960,59,stop,end_turn,,,2026-07-29T12:02:36.932552
hard-9,9-b1-claude-sonnet-5-1.vue,components,,few_shot,0.0,medium,,b1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785319356-Ds88gK5GVCaa6138WJzO,0,0,11589.2315,24659,1003,25662,8125,0,0,0.044723,0.034693,0.01003,True,True,False,2446,82,stop,end_turn,,,2026-07-29T12:02:48.528800
