input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
hard-1,1-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340080-XemgQRC3Ui22efWHvHtN,0,0,9258.1499,14155,864,15019,0,1112,0,0.037506,0.028866,0.00864,True,True,False,2169,72,stop,end_turn,,,2026-07-29T17:48:09.941900
hard-10,10-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340089-EAlgzPEiXDBHwpDo8jFI,0,0,11907.789,36328,1310,37638,1112,0,0,0.0837544,0.0706544,0.0131,True,True,False,3300,129,stop,end_turn,,,2026-07-29T17:48:21.858710
hard-2,2-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340101-Dzz9lWTlh99LOZQRL9HI,0,0,7817.0359,21483,661,22144,1112,0,0,0.0475744,0.0409644,0.00661,True,True,False,1583,64,stop,end_turn,,,2026-07-29T17:48:29.686832
hard-3,3-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340108-jJyA66V2yr2XpS3uaWfe,0,0,11366.817,50979,1031,52010,1112,0,68,0.1102664,0.0999564,0.01031,True,True,False,2140,79,stop,end_turn,,,2026-07-29T17:48:41.063161
hard-4,4-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340120-NnDKabb3fEnupbIfMwaX,0,0,9213.4118,25480,871,26351,1112,0,0,0.0576684,0.0489584,0.00871,True,True,False,2219,95,stop,end_turn,,,2026-07-29T17:48:50.282882
hard-5,5-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340129-RbOl5gs3P6xVh1TpJrLE,0,0,17644.7713,12292,2249,14541,1112,0,69,0.0450724,0.0225824,0.02249,True,True,False,5821,168,stop,end_turn,,,2026-07-29T17:49:07.931649
hard-6,6-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340147-6YaeJfyCRiY4ogGsK7Xc,0,0,5070.2946,9079,268,9347,1112,0,0,0.0188364,0.0161564,0.00268,True,True,False,593,29,stop,end_turn,,,2026-07-29T17:49:13.005921
hard-7,7-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340152-GXIlJ3FO7INLJKXzXo1E,0,0,10844.6317,20985,1084,22069,1112,0,0,0.0508084,0.0399684,0.01084,True,True,False,2553,92,stop,end_turn,,,2026-07-29T17:49:23.857541
hard-8,8-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340162-0wz9Dg7LFQsfbiRjkT6J,0,0,11826.6289,8511,1114,9625,1112,0,0,0.0261604,0.0150204,0.01114,True,True,False,2703,65,stop,end_turn,,,2026-07-29T17:49:35.689176
hard-9,9-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340174-d5UN5evA6XAWAsUmzhav,0,0,12269.5067,18443,1303,19746,1112,0,0,0.0479144,0.0348844,0.01303,True,True,False,3434,117,stop,end_turn,,,2026-07-29T17:49:47.964682
medium-1,1-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340187-WZFOu002J1DljE1bmrBY,0,0,9131.1147,9929,865,10794,1112,0,0,0.0265064,0.0178564,0.00865,True,True,False,2237,58,stop,end_turn,,,2026-07-29T17:49:57.101811
medium-10,10-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340196-cNImFQX3gx51tjGydn1j,0,0,9290.5011,5378,479,5857,1112,0,0,0.0135444,0.0087544,0.00479,True,True,False,1168,36,stop,end_turn,,,2026-07-29T17:50:06.397313
medium-2,2-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340205-rHYeli6eZUsMNs9iTMP1,0,0,14305.3443,21171,1749,22920,1112,0,0,0.0578304,0.0403404,0.01749,True,True,False,4526,126,stop,end_turn,,,2026-07-29T17:50:20.714207
medium-3,3-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340219-LjLjgf6x77lf85EtOQYK,0,0,6794.2514,4867,589,5456,1112,0,0,0.0136224,0.0077324,0.00589,True,True,False,1345,30,stop,end_turn,,,2026-07-29T17:50:27.512463
medium-4,4-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340226-QV5EFgi9Zv1Z9OWeMhDn,0,0,7257.0646,7254,586,7840,1112,0,0,0.0183664,0.0125064,0.00586,True,True,False,1318,51,stop,end_turn,,,2026-07-29T17:50:34.772524
medium-5,5-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340234-ntnZctkg6lB4QOHG2Evp,0,0,8581.7935,8841,699,9540,1112,0,0,0.0226704,0.0156804,0.00699,True,True,False,1762,45,stop,end_turn,,,2026-07-29T17:50:43.359323
medium-6,6-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340242-nprLl0KCarGRYagp81CG,0,0,10844.8174,7602,1322,8924,1112,0,0,0.0264224,0.0132024,0.01322,True,True,False,3112,45,stop,end_turn,,,2026-07-29T17:50:54.208167
medium-7,7-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340253-xGuffJnXIXfwy2b6Xuzm,0,0,7406.9984,8176,655,8831,1112,0,0,0.0209004,0.0143504,0.00655,True,True,False,1707,49,stop,end_turn,,,2026-07-29T17:51:01.619135
medium-8,8-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340260-opK5NE113PczqCC3f40g,0,0,8977.8779,7324,652,7976,1112,0,0,0.0191664,0.0126464,0.00652,True,True,False,1751,55,stop,end_turn,,,2026-07-29T17:51:10.601251
medium-9,9-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340269-xzAlObvUylt2AjhDtm36,0,0,10055.1875,13560,1072,14632,1112,0,0,0.0358384,0.0251184,0.01072,True,True,False,2792,80,stop,end_turn,,,2026-07-29T17:51:20.660465
simple-1,1-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340279-dDK2SiboWVwi12ihVFWt,0,0,4382.4275,4710,208,4918,1112,0,0,0.0094984,0.0074184,0.00208,True,True,False,528,23,stop,end_turn,,,2026-07-29T17:51:25.047861
simple-10,10-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340284-G1bH5VsJVNhwxLFzxahl,0,0,9603.3089,12742,975,13717,1112,0,0,0.0332324,0.0234824,0.00975,True,True,False,2456,70,stop,end_turn,,,2026-07-29T17:51:34.656180
simple-2,2-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340293-2Z6EW0G9s7Lt8dwjF9S3,0,0,4346.1237,2925,232,3157,1112,0,0,0.0061684,0.0038484,0.00232,True,True,False,569,21,stop,end_turn,,,2026-07-29T17:51:39.010770
simple-3,3-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340298-DhOBgQIjoCr3xVMY3FiB,0,0,4740.8137,6237,233,6470,1112,0,0,0.0128024,0.0104724,0.00233,True,True,False,545,24,stop,end_turn,,,2026-07-29T17:51:43.755563
simple-4,4-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340302-csk0yiBRVsw9y5tRqrGa,0,0,6370.6908,7283,547,7830,1112,0,0,0.0180344,0.0125644,0.00547,True,True,False,1474,56,stop,end_turn,,,2026-07-29T17:51:50.130225
simple-5,5-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340309-2Th1si0luEADfj5ATgwl,0,0,5343.4629,5178,325,5503,1112,0,0,0.0116044,0.0083544,0.00325,True,True,False,777,29,stop,end_turn,,,2026-07-29T17:51:55.477822
simple-6,6-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340314-xnW4oGBbTCuhu5Ix5JZK,0,0,4812.562,3319,213,3532,1112,0,0,0.0067664,0.0046364,0.00213,True,True,False,479,18,stop,end_turn,,,2026-07-29T17:52:00.294400
simple-7,7-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340319-w3MGYkaDdtE65AJ6TC4G,0,0,4622.1776,2705,174,2879,1112,0,0,0.0051484,0.0034084,0.00174,True,True,False,384,14,stop,end_turn,,,2026-07-29T17:52:04.919572
simple-8,8-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340324-bwUuRSQjXVcET3kg3kbq,0,0,5042.9416,4713,317,5030,1112,0,0,0.0105944,0.0074244,0.00317,True,True,False,805,29,stop,end_turn,,,2026-07-29T17:52:09.965517
simple-9,9-d1-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d1,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340329-Mr2xwtbyfftkuL6M7dIO,0,0,6526.0746,6650,487,7137,1112,0,0,0.0161684,0.0112984,0.00487,True,True,False,1089,55,stop,end_turn,,,2026-07-29T17:52:16.495582
hard-1,1-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340335-KYLH2UlViiyUCIGCGbdY,46713,5,9584.7228,85865,736,86601,1112,71711,0,0.2129439,0.2055839,0.00736,True,True,False,1916,64,stop,end_turn,,,2026-07-29T17:52:26.090832
hard-10,10-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340345-yX9sXfJqt4huTGI16qzU,39206,3,11961.288,94428,1327,95755,1112,58101,0,0.2291749,0.2159049,0.01327,True,True,False,3390,129,stop,end_turn,,,2026-07-29T17:52:38.063641
hard-2,2-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340357-39PFjLi3sMY8c3oOjJTH,20668,1,7543.2606,51688,625,52313,1112,30206,0,0.1227274,0.1164774,0.00625,True,True,False,1522,40,stop,end_turn,,,2026-07-29T17:52:45.612901
hard-3,3-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340364-ZSiDo4t1miAgrW3zrA8y,51397,5,12250.5176,128596,855,129451,1112,77618,0,0.3025494,0.2939994,0.00855,True,True,False,2142,77,stop,end_turn,,,2026-07-29T17:52:57.875446
hard-4,4-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340377-bugRvTYL5SilwBnZowUf,39206,3,8862.5448,83580,979,84559,59213,0,0,0.0703666,0.0605766,0.00979,True,True,False,2479,90,stop,end_turn,,,2026-07-29T17:53:06.744961
hard-5,5-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340385-dGB9VmCXVs2cl9rsYrND,31603,3,23441.6254,62064,2689,64753,1112,49773,207,0.1739029,0.1470129,0.02689,True,True,False,6387,162,stop,end_turn,,,2026-07-29T17:53:30.191585
hard-6,6-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340409-EFKMXNYOyKlmf47redwb,17949,2,5367.5907,36172,293,36465,1112,27094,0,0.0868194,0.0838894,0.00293,True,True,False,684,30,stop,end_turn,,,2026-07-29T17:53:35.570954
hard-7,7-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340414-ot17Ivuf3lzX5oW5TGRv,25693,5,11089.3166,60914,1102,62016,1112,39930,0,0.1508114,0.1397914,0.01102,True,True,False,2668,93,stop,end_turn,,,2026-07-29T17:53:46.667268
hard-8,8-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340425-VAcALuNgtru7vgtn57Xo,23361,3,11134.9123,44587,1170,45757,1112,36077,0,0.1169109,0.1052109,0.0117,True,True,False,2886,71,stop,end_turn,,,2026-07-29T17:53:57.807170
hard-9,9-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,hard,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340436-IG3Qd8yWHIajwTAslEet,57675,8,12496.0351,107890,1231,109121,1112,89448,0,0.2708124,0.2585024,0.01231,True,True,False,3286,103,stop,end_turn,,,2026-07-29T17:54:10.310171
medium-1,1-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340449-hgepmNexumtYQ1pvU05q,35276,5,11096.8828,63209,913,64122,1112,53281,0,0.1601869,0.1510569,0.00913,True,True,False,2405,72,stop,end_turn,,,2026-07-29T17:54:21.413025
medium-10,10-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340460-GkPTd6nshbbi9WxyAKIM,17281,3,6765.1255,31403,448,31851,1112,26026,0,0.0782974,0.0738174,0.00448,True,True,False,1152,32,stop,end_turn,,,2026-07-29T17:54:28.182128
medium-2,2-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340467-8iQ62zjtb1z5dWTP1KF7,7257,1,18069.4237,33039,1968,35007,1112,11869,187,0.0896909,0.0700109,0.01968,True,True,False,4209,111,stop,end_turn,,,2026-07-29T17:54:46.258697
medium-3,3-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340485-pYTbyiUSJ7qtg9uu9cUx,8094,1,5778.0228,17284,541,17825,1112,12418,0,0.0441854,0.0387754,0.00541,True,True,False,1246,27,stop,end_turn,,,2026-07-29T17:54:52.040737
medium-4,4-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340491-8EX4klzQ9C6BDSG8e26Q,18910,3,5951.2024,35852,416,36268,1112,28599,0,0.0881619,0.0840019,0.00416,True,True,False,889,40,stop,end_turn,,,2026-07-29T17:54:57.994937
medium-5,5-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340497-rfmA3nIme3ou3OQAnr3L,31756,5,10922.5338,57217,686,57903,1112,48377,0,0.1434809,0.1366209,0.00686,True,True,False,1705,42,stop,end_turn,,,2026-07-29T17:55:08.923460
medium-6,6-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340508-Wd9GQOMx0xlWXlABX3MY,11426,3,12427.2056,26043,1458,27501,1112,18442,0,0.0738854,0.0593054,0.01458,True,True,False,3444,57,stop,end_turn,,,2026-07-29T17:55:21.366916
medium-7,7-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340520-13gdjzaRbyRfTUy53HQD,22490,4,7643.3055,42300,614,42914,1112,34125,0,0.1058009,0.0996609,0.00614,True,True,False,1587,45,stop,end_turn,,,2026-07-29T17:55:29.015218
medium-8,8-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340528-5hYSYM1e59hbRZStG0z9,22295,3,7779.1677,42005,574,42579,1112,34682,0,0.1050894,0.0993494,0.00574,True,True,False,1530,49,stop,end_turn,,,2026-07-29T17:55:36.801405
medium-9,9-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,medium,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340535-70qxaZ2J88VDCUTiZPJU,7257,1,8263.5269,25428,939,26367,12981,0,0,0.0368802,0.0274902,0.00939,True,True,False,2492,72,stop,end_turn,,,2026-07-29T17:55:45.069926
simple-1,1-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340544-6Glxi5sFWuLmsorjtm3f,29430,3,5164.6516,49218,220,49438,1112,44509,0,0.1208889,0.1186889,0.0022,True,True,False,558,23,stop,end_turn,,,2026-07-29T17:55:50.239586
simple-10,10-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340549-irliEqtHYM6vPvzWuUCn,40224,6,9917.8712,74398,963,75361,1112,61657,0,0.1872529,0.1776229,0.00963,True,True,False,2399,72,stop,end_turn,,,2026-07-29T17:56:00.163487
simple-2,2-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340559-nEKeAtsAsQ88XOtYwZFG,4603,2,5444.3805,10422,285,10707,1112,7498,0,0.0254414,0.0225914,0.00285,True,True,False,657,20,stop,end_turn,,,2026-07-29T17:56:05.611857
simple-3,3-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340564-6IZEmfPia1QzfgJC59FF,16375,3,5507.642,31271,330,31601,1112,25035,0,0.0763579,0.0730579,0.0033,True,True,False,793,31,stop,end_turn,,,2026-07-29T17:56:11.124512
simple-4,4-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340570-dgnlC644xu4r89KZEfP4,9167,2,6372.4015,21679,500,22179,1112,14397,0,0.0535549,0.0485549,0.005,True,True,False,1274,33,stop,end_turn,,,2026-07-29T17:56:17.501909
simple-5,5-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340576-lIOeNjuX5uKV5J76B7uA,25384,3,8298.8887,43750,411,44161,1112,38573,0,0.1088949,0.1047849,0.00411,True,True,False,1017,41,stop,end_turn,,,2026-07-29T17:56:25.805813
simple-6,6-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340584-55VIxOmpHK7RuG8Qsf1P,3145,2,4030.3202,8325,192,8517,1112,5007,0,0.0190719,0.0171519,0.00192,True,True,False,432,16,stop,end_turn,,,2026-07-29T17:56:29.844341
simple-7,7-d2-claude-sonnet-5-1.vue,components,,zero_shot,0.0,medium,auto,d2,simple,Amazon Bedrock,claude-sonnet-5,anthropic/claude-sonnet-5,1,1,gen-1785340588-UZLHxRiV3LRO4szoe1lz,3137,1,4956.8975,7575,199,7774,1112,4871,0,0.0175739,0.0155839,0.00199,True,True,False,432,14,stop,end_turn,,,2026-07-29T17:56:34.804261
