input,output,complexity,model,strategy,duration_ms,sfc_bytes,sfc_lines,ast_depth_approx,parse_ok,input_tokens,cached_tokens,cache_discount,output_tokens,context_tokens,context_components,stop_reason,cost_usd,error
hard-1,1-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,8712.3339,2284,74,18,True,12353,0,,894,0,0,stop,0.033646,
hard-10,10-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,12254.5326,3312,130,20,True,35390,0,,1406,0,0,stop,0.08484,
hard-2,2-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,7214.3822,1589,66,12,True,19879,0,,672,0,0,stop,0.046478,
hard-3,3-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,11708.2481,1878,72,17,True,48751,0,,776,0,0,stop,0.105262,
hard-4,4-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,9762.7952,2661,115,12,True,24701,0,,1071,0,0,stop,0.060112,
hard-5,5-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,13176.3299,3080,91,33,True,10656,0,,1172,0,0,stop,0.033032,
hard-6,6-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,6868.021,537,27,3,True,8014,0,,245,0,0,stop,0.018478,
hard-7,7-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,10327.6944,2400,84,16,True,19230,0,,1050,0,0,stop,0.04896,
hard-8,8-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,8703.5131,1762,54,26,True,7276,0,,770,0,0,stop,0.022252,
hard-9,9-b1-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b1,10279.8054,2635,80,21,True,16701,0,,1101,0,0,stop,0.044412,
medium-1,1-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,8280.7086,2105,79,21,True,8595,0,,810,0,0,stop,0.02529,
medium-10,10-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,5257.5123,968,28,10,True,4311,0,,413,0,0,stop,0.012752,
medium-2,2-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,10933.44,3689,114,30,True,19682,0,,1308,0,0,stop,0.052444,
medium-3,3-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,5923.5389,1358,30,12,True,3755,0,,587,0,0,stop,0.01338,
medium-4,4-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,5869.7996,866,41,4,True,6185,0,,406,0,0,stop,0.01643,
medium-5,5-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,7954.8278,1337,40,16,True,7616,0,,578,0,0,stop,0.021012,
